id,race,nationality
6642,1,1
6644,1,1
6660,1,1
6665,1,1
6666,1,12
6667,1,1
6675,NA,NA
6681,1,1
6685,1,2
6686,1,1
6687,1,2
6695,1,1
6713,1,1
6719,1,1
6741,1,1
6745,1,1
6756,1,1
6767,1,1
6782,1,1
6784,1,1
6788,1,1
6793,1,1
6802,1,1
6803,1,1
6804,1,1
6811,1,1
6815,1,1
6817,1,1
6821,1,1
6838,1,1
6843,1,1
6864,1,1
6875,1,1
6877,1,1
6883,1,1
6897,1,2
6899,1,1
6901,1,1
6907,1,1
6912,1,1
6928,1,1
6936,1,1
6938,1,2
6941,1,1
6955,1,2
6959,1,1
6961,1,2
6963,1,1
6970,1,1
6977,1,1
6987,1,1
6992,1,1
6995,1,1
6999,1,1
7008,1,1
7013,1,1
7033,1,1
7050,1,1
7056,1,1
7057,1,1
7067,1,1
7068,1,1
7077,1,1
7090,1,1
7099,1,1
7104,1,1
7115,7,1
7126,1,1
7141,NA,NA
7148,1,1
7160,1,2
7162,1,1
7185,1,1
7190,1,1
7199,1,1
7204,1,1
7216,1,1
7217,1,1
7218,1,1
7225,1,1
7227,1,2
7255,1,14
7266,1,1
7268,1,1
7270,1,1
7272,1,1
7280,1,5
7283,1,1
7284,1,1
7288,1,1
7299,1,1
7307,1,1
7310,1,1
7320,1,2
7329,1,1
7332,1,12
7339,1,1
7348,1,1
7359,1,1
7361,1,1
7364,1,1
7369,7,4
7384,1,1
7394,1,1
7407,1,1
7427,1,1
7432,NA,NA
7436,1,2
7441,1,1
7449,1,1
7458,1,1
7467,1,12
7472,1,1
7478,1,1
7489,1,1
7494,1,1
7499,1,1
7503,1,1
7506,1,1
7514,1,1
7518,1,1
7523,1,1
7537,1,1
7557,4,NA
7562,1,1
7563,3,7
7566,NA,NA
7576,1,1
7577,NA,NA
7584,1,1
7597,1,1
7599,1,1
7614,1,1
7619,1,1
7623,1,1
7643,1,1
7645,NA,NA
7647,1,1
7657,1,1
7666,1,2
7668,1,2
7671,1,2
7678,1,1
7691,1,1
7696,1,1
7708,1,1
7711,1,1
7713,1,1
7726,1,1
7732,1,1
7737,NA,NA
7738,1,12
7744,1,1
7745,1,1
7752,1,1
7753,1,1
7757,1,4
7770,1,1
7774,1,1
7775,1,1
7779,1,1
7782,1,1
7786,1,1
7792,1,1
7800,7,14
7813,1,1
7814,1,1
7817,1,1
7822,1,1
7844,1,1
7858,1,2
7860,1,1
7865,1,1
7872,1,1
7875,1,1
7878,1,1
7886,1,1
7892,1,1
7900,1,2
7901,1,1
7905,1,1
7917,1,1
7923,1,1
7937,1,1
7970,1,1
7972,1,1
7973,1,1
7979,1,1
7999,1,1
8018,1,1
8027,1,1
8030,NA,NA
8038,1,1
8041,1,1
8051,1,1
8054,1,1
8058,1,1
8063,1,1
8066,1,1
8082,1,1
8085,1,1
8099,1,1
8104,1,1
8105,1,12
8109,1,1
8114,1,1
8125,1,1
8132,1,1
8133,1,1
8134,1,2
8135,1,12
8140,1,2
8148,NA,NA
8150,1,1
8155,3,NA
8166,1,1
8178,1,1
8180,1,1
8183,1,1
8189,1,1
8191,1,1
8200,1,1
8201,1,1
8206,1,1
8213,1,1
8216,1,2
8220,1,1
8222,1,1
8245,1,1
8247,1,1
8259,1,1
8260,1,1
8262,1,1
8265,1,1
8271,1,1
8273,1,1
8279,1,2
8287,1,1
8297,1,1
8305,1,1
8313,1,1
8316,1,1
8317,1,1
8328,1,1
8335,NA,NA
8337,1,1
8339,1,1
8355,1,1
8356,1,2
8365,1,1
8366,1,1
8371,NA,NA
8375,1,1
8378,1,1
8387,1,1
8397,1,1
8411,1,1
8414,1,1
8415,1,1
8423,1,1
8428,1,1
8433,1,1
8435,1,1
8450,1,1
8451,1,1
8457,1,1
8460,7,14
8464,1,1
8488,1,1
8498,1,1
8512,1,5
8526,1,1
8528,1,1
8531,1,1
8533,1,1
8547,7,14
8555,1,1
8558,1,1
8561,4,NA
8562,1,1
8563,1,2
8565,1,3
8566,1,1
8578,1,1
8605,1,1
8627,1,1
8629,1,1
8636,1,2
8642,7,14
8645,7,14
8652,1,1
8654,NA,NA
8660,1,1
8664,1,1
8671,1,1
8680,1,1
8683,1,1
8708,1,1
8711,1,4
8716,1,1
8717,1,1
8724,1,2
8729,1,1
8738,1,5
8743,NA,NA
8749,1,2
8750,1,1
8764,1,1
8777,1,1
8784,1,2
8788,1,1
8794,1,1
8796,1,1
8801,1,1
8803,1,1
8812,1,1
8821,1,1
8843,NA,NA
8855,1,1
8860,1,1
8866,1,1
8867,1,12
8868,1,1
8878,1,1
8879,1,1
8881,1,2
8896,1,1
8898,1,1
8900,1,1
8904,1,1
8905,1,1
8917,1,1
8948,1,1
8950,1,1
8955,1,1
8961,1,1
9004,1,1
9017,1,1
9025,1,1
9042,1,1
9052,1,1
9064,1,1
9068,1,2
9071,1,1
9076,1,1
9081,1,1
9083,1,1
9094,1,1
9096,1,1
9097,1,1
9110,1,1
9115,1,1
9117,NA,NA
9133,1,1
9147,NA,NA
9151,1,1
9157,1,1
9172,NA,NA
9177,1,1
9179,1,1
9186,1,1
9189,1,1
9194,4,NA
9199,1,1
9209,1,1
9218,1,2
9237,1,12
9243,1,1
9247,1,1
9250,1,1
9259,1,1
9270,1,2
9271,1,1
9276,1,1
9287,1,1
9295,1,1
9296,1,1
9298,1,1
9312,1,1
9314,1,1
9319,1,12
9321,1,1
9323,1,1
9324,1,1
9335,1,5
9336,NA,NA
9337,1,1
9340,1,1
9341,1,2
9349,1,2
9358,1,1
9365,1,1
9371,1,1
9377,1,1
9379,1,1
9400,1,1
9402,1,1
9403,1,1
9404,1,5
9411,1,1
9415,1,1
9440,1,1
9454,1,1
9463,1,1
9469,1,1
9484,1,1
9488,1,1
9500,1,1
9502,1,1
9503,1,1
9506,1,1
9507,1,1
9519,1,1
9521,1,1
9527,1,1
9534,1,1
9537,NA,NA
9542,1,1
9545,NA,NA
9547,1,1
9551,1,1
9563,1,1
9571,1,1
9580,1,1
9598,1,1
9623,1,1
9657,1,1
9662,1,1
9675,1,1
9680,1,1
9720,1,1
9724,1,2
9740,1,14
9742,1,1
9749,1,1
9757,1,1
9759,1,1
9760,1,1
9762,1,1
9765,1,1
9768,1,1
9786,1,1
9789,1,1
9800,1,1
9803,1,1
9804,7,14
9806,1,1
9808,1,1
9809,1,2
9819,1,1
9833,1,1
9837,1,1
9842,1,1
9863,1,2
9881,1,1
9889,1,1
9891,1,1
9908,1,1
9911,1,1
9913,1,1
9923,4,12
9927,1,1
9935,1,1
9946,1,1
9965,1,1
9970,1,1
9971,1,1
9973,1,1
9976,1,1
9984,1,1
9987,1,1
9989,1,2
10019,1,1
10022,1,1
10035,1,1
10036,NA,NA
10041,1,1
10049,1,1
10050,1,1
10058,1,5
10066,1,1
10069,1,1
10074,1,5
10079,1,1
10105,1,1
10119,1,1
10122,1,1
10140,1,1
10143,1,1
10146,1,1
10148,1,1
10150,1,1
10155,1,1
10156,1,2
10164,1,1
10169,1,1
10177,1,1
10188,1,2
10191,1,1
10196,1,1
10198,1,1
10203,1,2
10205,1,1
10209,1,1
10218,1,1
10219,1,2
10225,1,1
10227,1,1
10235,1,1
10238,1,5
10240,1,1
10243,1,1
10245,1,1
10248,1,1
10257,1,1
10259,1,1
10262,1,1
10265,1,1
10282,1,1
10286,1,1
10292,1,2
10294,1,2
10312,1,1
10319,1,1
10322,1,1
10336,1,2
10365,1,2
10370,1,1
10377,1,1
10386,NA,NA
10395,1,1
10409,1,1
10410,1,1
10415,1,1
10418,1,1
10432,1,1
10445,1,1
10481,1,1
10491,1,1
10499,1,1
10514,1,1
10515,1,1
10517,1,1
10520,1,1
10532,1,1
10535,1,1
10537,1,1
10540,1,1
10558,1,1
10565,NA,NA
10572,1,1
10574,1,1
10576,1,1
10581,1,1
10587,1,1
10594,NA,NA
10595,1,1
10599,1,1
10611,1,1
10624,1,1
10631,1,1
10635,1,1
10638,NA,NA
10641,1,1
10642,1,1
10667,1,1
10669,1,1
10683,1,1
10693,1,1
10699,1,1
10706,1,1
10714,1,1
10716,1,1
10722,1,1
10749,1,1
10750,1,2
10755,1,1
10756,1,2
10775,NA,NA
10786,1,1
10798,1,1
10801,1,1
10804,1,1
10807,1,1
10811,1,1
10833,1,1
10840,1,1
10848,1,1
10849,1,1
10850,1,1
10857,1,12
10871,1,1
10877,1,1
10895,1,1
10915,4,NA
10921,1,2
10924,1,1
10931,1,1
10933,1,1
10934,1,1
10941,1,1
10942,1,1
10946,1,1
10962,1,NA
10966,1,1
10967,1,4
10970,1,1
10974,1,1
10976,1,1
10977,1,1
10985,1,2
10986,NA,NA
11015,1,1
11017,1,5
11023,1,2
11031,7,14
11032,1,1
11056,1,1
11064,1,1
11069,1,1
11074,NA,NA
11075,1,1
11076,1,1
11091,1,1
11106,1,1
11110,1,1
11118,1,2
11137,1,1
11144,1,14
11150,1,1
11155,1,1
11160,1,1
11164,NA,NA
11169,1,1
11175,1,1
11187,1,1
11201,1,14
11209,NA,NA
11213,1,14
11218,1,1
11223,1,1
11224,1,1
11226,1,1
11241,1,1
11245,1,14
11247,1,1
11251,1,1
11256,1,1
11257,1,1
11272,1,1
11278,1,1
11281,1,1
11286,1,1
11311,1,1
11322,1,1
11340,1,1
11344,1,1
11350,NA,NA
11352,1,1
11356,1,1
11366,1,1
11370,1,1
11372,1,1
11374,1,1
11376,1,1
11379,NA,NA
11386,1,1
11387,1,1
11406,NA,NA
11410,1,1
11426,1,1
11428,1,1
11433,1,1
11454,1,1
11465,1,1
11475,1,1
11482,1,2
11483,1,1
11486,1,1
11497,1,1
11524,1,1
11551,1,1
11565,1,1
11569,1,1
11586,1,1
11588,1,1
11590,1,1
11591,1,1
11592,1,1
11602,1,1
11612,1,1
11623,1,1
11625,1,1
11632,1,1
11645,1,1
11657,1,1
11658,1,1
11670,1,1
11674,1,1
11677,1,2
11679,7,14
11684,1,2
11686,1,1
11691,1,1
11695,1,2
11699,1,1
11703,1,1
11707,1,1
11715,1,1
11722,1,1
11733,1,1
11736,1,1
11743,NA,NA
11747,1,1
11753,1,5
11757,1,1
11763,1,1
11770,1,2
11772,1,1
11776,1,1
11785,1,1
11786,1,1
11802,1,2
11807,1,1
11809,1,1
11814,1,1
11828,1,1
11830,1,1
11835,1,1
11847,1,1
11859,1,1
11861,1,1
11865,1,1
11875,1,1
11881,1,1
11883,1,1
11894,1,1
11895,1,1
11896,1,1
11899,1,12
11902,1,1
11903,1,1
11913,1,1
11916,1,2
11947,1,1
11965,1,1
11971,1,1
11973,1,1
11987,1,1
11990,1,1
11991,1,1
11993,1,1
11999,1,12
12002,1,1
12005,1,1
12014,1,1
12020,1,1
12024,1,1
12037,1,1
12045,1,1
12046,1,1
12049,NA,NA
12051,1,1
12052,1,1
12056,1,1
12061,1,1
12079,7,14
12090,1,1
12093,1,1
12114,1,1
12117,1,1
12140,1,1
12151,1,1
12152,1,1
12158,1,1
12163,1,2
12175,1,1
12179,1,1
12181,NA,NA
12190,1,2
12192,1,1
12194,1,1
12197,NA,NA
12208,1,1
12218,1,1
12237,1,1
12238,1,1
12240,1,1
12273,1,1
12282,1,1
12287,1,1
12288,1,1
12311,NA,NA
12322,1,1
12323,1,1
12353,1,12
12365,1,1
12370,1,1
12383,1,1
12417,1,NA
12420,1,1
12424,1,1
12434,1,1
12441,1,1
12449,1,1
12456,1,1
12459,1,1
12466,1,1
12467,1,1
12471,1,1
12480,1,1
12489,1,1
12493,1,2
12499,1,1
12524,1,2
12537,1,1
12556,NA,NA
12565,1,1
12568,1,1
12569,1,1
12589,1,1
12591,1,1
12600,1,12
12606,1,1
12613,1,1
12624,1,1
12636,1,1
12642,1,2
12655,7,1
12668,1,1
12673,1,2
12682,1,1
12695,1,1
12717,1,1
12730,1,1
12733,1,1
12735,NA,NA
12738,1,1
12740,1,12
12756,1,3
12767,1,1
12771,1,1
12776,1,1
12777,7,14
12781,1,1
12782,1,1
12792,1,1
12810,1,1
12812,1,2
12833,1,1
12842,1,1
12847,1,1
12856,1,1
12863,1,1
12870,1,1
12872,1,2
12881,1,1
12885,1,1
12886,1,1
12887,1,1
12898,1,1
12916,1,1
12920,1,1
12938,1,1
12942,1,1
12967,1,1
12971,1,1
12995,1,1
13007,1,1
13012,1,1
13020,1,1
13024,1,1
13028,1,1
13032,1,1
13038,NA,NA
13045,1,1
13049,1,1
13050,1,1
13057,1,1
13063,1,1
13068,1,1
13072,NA,NA
13074,1,1
13093,1,2
13095,NA,NA
13102,1,1
13111,1,2
13136,1,1
13138,1,1
13149,1,2
13153,1,2
13181,1,1
13186,1,1
13197,1,1
13226,1,1
13232,1,1
13233,1,1
13238,1,1
13280,1,1
13293,1,1
13295,1,1
13296,1,1
13309,1,1
13313,1,1
13330,NA,NA
13336,1,1
13354,1,1
13366,3,6
13371,1,1
13376,7,14
13382,1,1
13383,1,1
13399,1,1
13400,1,1
13417,1,1
13420,NA,NA
13430,1,1
13433,1,2
13434,1,1
13440,1,1
13445,1,1
13447,1,2
13465,1,1
13473,1,1
13481,NA,NA
13484,1,1
13501,1,1
13503,1,5
13509,1,1
13524,1,1
13531,1,1
13534,1,1
13535,1,1
13542,1,1
13547,1,1
13554,1,1
13557,1,1
13563,1,1
13574,1,1
13578,1,5
13583,1,1
13584,1,1
13589,1,1
13590,1,1
13602,1,1
13603,1,3
13607,1,1
13608,1,2
13611,NA,NA
13615,1,1
13619,1,1
13625,1,1
13631,1,1
13645,1,1
13656,1,1
13664,1,1
13673,1,1
13676,1,12
13680,1,1
13687,1,1
13691,1,1
13693,1,14
13697,NA,NA
13698,1,1
13700,1,1
13711,1,1
13719,1,1
13728,1,1
13731,1,1
13741,1,1
13754,NA,NA
13756,NA,NA
13762,1,1
13767,1,1
13769,1,1
13788,1,1
13800,1,1
13801,1,1
13807,1,1
13808,1,1
13812,1,1
13813,1,1
13816,1,1
13823,NA,NA
13830,NA,NA
13838,1,1
13842,1,1
13858,1,2
13881,7,14
13886,1,1
13903,1,1
13914,1,1
13921,1,1
13925,1,12
13934,NA,NA
13937,1,1
13938,1,1
13945,1,1
13947,1,1
13952,1,2
13953,1,1
13954,3,7
13957,3,7
13975,1,1
13989,1,1
13991,1,1
13994,1,1
13996,1,1
14003,1,1
14005,1,2
14016,1,1
14019,1,1
14021,1,1
14025,1,1
14034,1,1
14044,1,1
14050,1,1
14056,NA,NA
14058,1,1
14086,1,2
14089,1,1
14093,1,1
14109,1,1
14110,1,1
14115,1,1
14118,1,1
14129,1,12
14131,1,1
14153,1,2
14186,1,1
14199,1,1
14200,1,1
14202,1,1
14208,1,5
14217,1,1
14229,1,12
14253,1,1
14254,1,1
14258,1,1
14269,1,1
14278,1,4
14294,1,1
14312,1,1
14314,1,1
14323,1,1
14328,1,1
14329,1,1
14344,1,1
14349,1,1
14355,1,1
14359,1,1
14361,1,1
14362,1,1
14370,1,1
14379,1,1
14401,1,1
14416,1,1
14430,1,1
14438,1,1
14440,1,2
14460,1,1
14462,1,1
14464,1,1
14471,1,1
14494,1,1
14504,3,6
14542,1,1
14561,1,2
14562,1,1
14572,1,1
